年月日,東京,札幌,那覇
2013/8/10,0,0,17
2013/8/11,0,0,0
2013/8/12,3.5,7,48.5
2013/8/13,6.5,1,23.5
2013/8/14,0,0,71
2013/8/15,0,0,0
2013/8/16,0,0,0
2013/8/17,0,4.5,5
2013/8/18,0,15,0
2013/8/19,0,1,18.5
2013/8/20,0,16,19.5
2013/8/21,26.5,2,6.5
2013/8/22,0,0,0
2013/8/23,7.5,0,0
2013/8/24,0.5,11,2.5
2013/8/25,3.5,39.5,0
2013/8/26,4.5,0.5,0
2013/8/27,35.5,21.5,0
2013/8/28,0,14,0
2013/8/29,0,2,0
2013/8/30,0,18,0
2013/8/31,0,3.5,0
2013/9/1,0,1,0
2013/9/2,0,0,16
2013/9/3,0,4.5,13.5
2013/9/4,14,43,0
2013/9/5,24,5,0
2013/9/6,0,4,0
2013/9/7,0,0,0
2013/9/8,46,0,79
2013/9/9,0,0,7.5
2013/9/10,1.5,0,3.5
2013/9/11,3.5,0,6
2013/9/12,0,0,0
2013/9/13,0,0,0.5
2013/9/14,0,15,0
2013/9/15,78,29,0
2013/9/16,16.5,32,0
2013/9/17,0,0,1
2013/9/18,0,0,0
2013/9/19,0,0,3
2013/9/20,0,0,7
2013/9/21,0,0,22.5
2013/9/22,0,0,0.5
2013/9/23,0,0,0.5
2013/9/24,4,4.5,1.5
2013/9/25,38,26,0
2013/9/26,6,0,2.5
2013/9/27,0,0,0
2013/9/28,0,0,7
2013/9/29,0,0,5.5
2013/9/30,0,9,1
2013/10/1,4,3,0
2013/10/2,35,0,0
2013/10/3,0.5,0,0
2013/10/4,2.5,0,13.5
2013/10/5,30,0,118
2013/10/6,0.5,0,9.5
2013/10/7,0,0,11
2013/10/8,0,0,0
2013/10/9,0,1,0.5
2013/10/10,0.5,0,0.5
2013/10/11,0.5,21,0
2013/10/12,0,0.5,2.5
2013/10/13,0,3,0
2013/10/14,0,0,0
2013/10/15,69.5,1,0.5
2013/10/16,176.5,35,0
2013/10/17,0,10,3.5
2013/10/18,0,0,0
2013/10/19,2.5,0,0
2013/10/20,61,1.5,0
2013/10/21,0,3.5,0
2013/10/22,0,0,0
2013/10/23,0,0,21.5
2013/10/24,2,0,8
2013/10/25,14,17.5,0.5
2013/10/26,36,3.5,0
2013/10/27,0,27,0
2013/10/28,0,3.5,0
2013/10/29,5,0,3.5
2013/10/30,0,0,0
2013/10/31,0,0,7
2013/11/1,0,0,15.5
2013/11/2,0.5,0,0.5
2013/11/3,0,0,2.5
2013/11/4,5,1.5,3.5
2013/11/5,0,0.5,0
2013/11/6,0,0.5,0
2013/11/7,4.5,5.5,6
2013/11/8,0,41.5,0
2013/11/9,0,0,0
2013/11/10,0,15,0
2013/11/11,1.5,4,0.5
2013/11/12,0,0,1
2013/11/13,0,0.5,3.5
2013/11/14,0,0,2
2013/11/15,0.5,0.5,0
2013/11/16,0,0,0.5
2013/11/17,0,0,1.5
2013/11/18,0,0.5,0
2013/11/19,0,0,0
2013/11/20,0,0.5,0
2013/11/21,0,3,0
2013/11/22,0,0.5,0
2013/11/23,0,0.5,0
2013/11/24,0,0,0
2013/11/25,14,18.5,79
2013/11/26,0,2,0
2013/11/27,0,1,0
2013/11/28,0,17,5
2013/11/29,0,0.5,0
2013/11/30,0,2.5,0
2013/12/1,0,0,0
2013/12/2,0,1.5,0
2013/12/3,0,1,0
2013/12/4,0,0.5,0
2013/12/5,0,0,0
2013/12/6,0,0,0
2013/12/7,0,1,0
2013/12/8,0,1,0
2013/12/9,0,0.5,21.5
2013/12/10,9.5,7,0
2013/12/11,0,8,0
2013/12/12,0,1,0
2013/12/13,0,16,18.5
2013/12/14,0,0.5,0.5
2013/12/15,0,8.5,1.5
2013/12/16,0,4.5,1.5
2013/12/17,0,0,52
2013/12/18,9,0,2
2013/12/19,26.5,0,4
2013/12/20,12.5,0,0
2013/12/21,0,0,0
2013/12/22,0,27,0
2013/12/23,0,4,0
2013/12/24,0,0,0
2013/12/25,0,4.5,11.5
2013/12/26,0.5,3,10
2013/12/27,1.5,3.5,2.5
2013/12/28,0,13.5,3
2013/12/29,0,6,0
2013/12/30,0,11.5,0
2013/12/31,0,0,1.5
